Name;Substance;Y_1970;Y_1971;Y_1972;Y_1973;Y_1974;Y_1975;Y_1976;Y_1977;Y_1978;Y_1979;Y_1980;Y_1981;Y_1982;Y_1983;Y_1984;Y_1985;Y_1986;Y_1987;Y_1988;Y_1989;Y_1990;Y_1991;Y_1992;Y_1993;Y_1994;Y_1995;Y_1996;Y_1997;Y_1998;Y_1999;Y_2000;Y_2001;Y_2002;Y_2003;Y_2004;Y_2005;Y_2006;Y_2007;Y_2008;Y_2009;Y_2010;Y_2011;Y_2012;Y_2013;Y_2014;Y_2015;Y_2016;Y_2017;Y_2018;Y_2019;Y_2020;Y_2021;Y_2022
Aruba;BC;0,007290268;0,007096986;0,006486082;0,006991014;0,006820116;0,006791584;0,006132788;0,006883016;0,006594963;0,006853634;0,007248346;0,007016398;0,007038157;0,006756346;0,006770215;0,006846559;0,008042706;0,007997012;0,008432843;0,011163457;0,018925707;0,020770934;0,021400856;0,023096761;0,024571731;0,026678433;0,01741758;0,026288663;0,02822122;0,028772593;0,023366751;0,023963034;0,02695429;0,029610179;0,02827417;0,030474867;0,03311004;0,035857907;0,037594779;0,040850869;0,042420033;0,025278338;0,037473013;0,040732711;0,043912182;0,043981064;0,044288856;0,042060917;0,043041586;0,048938887;0,043139574;0,042300748;0,043614374
Afghanistan;BC;0,730338911;0,722944658;0,815905553;0,822960876;0,846401706;0,889789228;0,896451645;0,867684701;0,894028279;0,8820028;0,860516807;0,869339588;0,833964958;0,844732507;0,821082952;0,891452415;0,854817387;0,907675687;0,850738525;0,802691427;0,79048739;0,797574185;0,713983276;0,798607953;0,840070158;1,061680149;1,182006235;1,270497849;1,320802383;1,300128531;1,375229204;1,393452228;1,598335443;1,733375197;1,658616631;1,91343176;1,893134792;2,052532789;2,120628349;2,675313333;2,762968242;2,971920969;3,078180513;2,917510323;2,940096428;2,811805485;2,711516793;2,720283314;2,588102536;2,767595392;2,659288622;2,661543433;2,682523128
Angola;BC;7,875671557;7,825547834;8,185796122;8,036663204;7,943032923;7,981138977;8,105439479;7,901163936;8,403578282;8,346816709;8,423747924;8,443656584;8,545979947;8,656932825;8,669724495;9,05124312;9,176712838;9,300202371;9,534344028;9,723746898;9,766536656;10,13833955;10,34241925;10,56886865;10,83035264;10,7341708;10,93273516;11,11949794;11,21783294;11,44933273;11,58193266;11,87187754;12,22311781;12,74703138;12,65192601;12,58746766;13,24125143;13,73467065;14,10691948;14,86164405;15,26794063;15,76231819;15,56427779;17,11255298;17,18278868;17,62454246;17,79449793;17,6013619;17,95829311;18,59467843;17,93454976;18,41864631;18,27982893
Anguilla;BC;0,000236933;0,000238371;0,000273003;0,000257158;0,00030212;0,000429146;0,000367901;0,000392371;0,000429057;0,000523237;0,000523815;0,000949617;0,000991736;0,00086349;0,000906407;0,000534303;0,000474871;0,00096409;0,000894636;0,000927383;0,000837167;0,001045967;0,001123848;0,001500091;0,001834231;0,002730595;0,002843956;0,002281789;0,00216385;0,002158065;0,00353005;0,003216864;0,002098145;0,002491004;0,002424109;0,002150052;0,002188934;0,001658686;0,001993104;0,002709294;0,003841655;0,004103717;0,004091582;0,004320184;0,004214614;0,004242936;0,003765574;0,003805338;0,003799448;0,003708493;0,003060617;0,00294934;0,003060625
Int. Aviation;BC;2,151980626;2,151980626;2,281945208;2,37971398;2,289871494;2,214380441;2,218239639;2,418813111;2,505793555;2,591860158;2,576602496;2,568797279;2,660625216;2,684450421;2,785264403;2,863266623;3,146619231;3,325195247;3,513033443;3,691234584;3,295311197;3,204691945;3,310152506;3,374145391;3,544965018;3,679071238;3,828314199;4,015096283;4,147433857;4,323661092;4,48112485;4,407018991;4,667984614;4,641947576;5,013264837;5,32982177;5,527094697;5,701146589;5,797834842;5,527480873;5,853576914;6,041413085;6,04348222;6,144612767;6,345159624;6,709420519;6,997655712;7,441958424;7,773696968;7,900350914;3,768753592;4,348561837;5,363226265
Albania;BC;1,485404387;1,485144434;1,524752229;1,525815687;1,538851238;1,549387349;1,591584691;1,617566225;1,672359233;1,767180925;1,952425588;1,677867475;1,711404016;1,796735037;1,876766061;1,861344848;1,872809792;1,895793218;1,871337056;1,867957896;1,735774208;1,490182296;1,300425394;1,242177713;1,196506185;1,121549777;1,063615499;0,971029814;1,040466287;1,057142134;1,066149776;1,064038004;1,241568311;0,973099814;1,289833328;1,272574844;1,118698084;1,149543867;1,201949728;1,119330093;1,057921539;1,102920936;1,044680447;1,087980263;1,097887588;1,106425491;1,053548417;1,035065371;1,034472281;1,000381901;0,898800167;0,939895483;0,958089395
Netherlands Antilles;BC;1,513664843;1,506182115;1,465233041;1,469785709;1,305195258;0,971634637;1,110896236;1,106640968;0,862597736;0,936813828;0,779008074;0,730293497;0,753328366;0,778521023;0,689256264;0,58141402;0,456946407;0,467483594;0,476497738;0,439670594;0,416458305;0,457495294;0,500954165;0,434150829;0,543416303;0,524880601;0,498799614;0,65534764;0,676963016;0,679949686;0,689544913;0,677595837;0,632590597;0,624668853;0,622823317;0,606075176;0,571356485;0,615619149;0,630339738;0,574872886;0,548166138;0,651455287;0,671715627;0,626697373;0,64143017;0,6657127;0,541279888;0,48487397;0,423809126;0,376142175;0,308824012;0,297596286;0,308824015
United Arab Emirates;BC;0,196555452;0,225627373;0,289213238;0,422734681;0,503132089;0,805401432;1,1619585;1,437903634;1,551902787;1,953924501;3,662578661;4,325273447;4,963862277;4,975786482;5,996928993;5,948872088;5,96044589;6,457396417;6,612867562;6,690117842;6,752742935;6,984712788;7,496756068;7,753935957;7,409843376;6,977583185;6,379997681;6,193829329;5,660508409;5,66137988;5,469780026;5,162870438;5,309032666;5,383759698;5,093724706;4,715976402;4,537278619;4,324647812;4,411997755;4,051739609;4,25382339;3,962965631;4,094321835;4,282020956;4,311556438;3,504635937;3,781021683;3,910932823;3,603609627;3,46979911;3,686140544;4,06163297;4,482885906
Argentina;BC;19,28524572;19,58327613;19,00111947;19,24738568;19,12536326;19,21869595;19,21701175;19,22357478;19,12040665;20,37329648;18,81615765;19,24058472;19,77312455;19,64078525;20,26489464;18,58127813;17,96485951;18,44923427;18,32627116;16,89873662;20,47124018;22,4282663;22,59810763;22,90345374;23,26322311;25,45830796;24,69034301;27,80782153;29,68629319;28,67059349;28,17901691;27,19090117;26,10236727;27,32732468;27,41266724;27,51073276;27,41830979;29,62362269;30,2888397;25,87255488;29,91672766;32,23098049;29,93440517;31,71592766;31,26924424;32,58423378;31,67993529;33,42131097;32,67312105;34,95525489;31,96308907;34,43825093;33,01198352
Armenia;BC;0,729967575;0,724848975;0,754134875;0,788095523;0,820185378;0,822312496;0,856167462;0,871132833;0,891481985;0,901522035;0,918293799;0,890463374;0,870085111;0,844576112;0,821166128;0,805849444;0,802132442;0,796023125;0,787673397;0,768675204;0,727007405;0,552305023;0,285292184;0,257862545;0,098082493;0,073588971;0,061639657;0,07033928;0,075005662;0,085937916;0,060130892;0,06739849;0,07937955;0,081414364;0,077121302;0,06857023;0,060340801;0,074980023;0,07418258;0,066448947;0,063268763;0,07149927;0,074946023;0,080288778;0,235834455;0,369827222;0,465250562;0,480333505;0,351950606;0,316256914;0,339124757;0,348741372;0,349427205
